Timestamp,Record number,Average Water Speed,Average Water Direction,Chlorophyll,Chlorophyll [quality],Temperature,Temperature [quality],Dissolved Oxygen,Dissolved Oxygen [quality],Dissolved Oxygen (%Saturation),Dissolved Oxygen (%Saturation) [quality],pH,pH [quality],Salinity,Salinity [quality],Specific Conductance,Specific Conductance [quality],Turbidity,Turbidity [quality],pH_Q,pH_Contribution,Turbidity_Q,Turbidity_Contribution,Specific Conductance_Q,Specific Conductance_Contribution,Dissolved Oxygen (%Saturation)_Q,Dissolved Oxygen (%Saturation)_Contribution,WQI,Year,Month,DayOfWeekNum,IsWeekend,DayOfYear,Hour
2024-01-01,11487.0,24.153641379310347,169.1501860137931,3.9045931034482764,1020.0,27.24178965517241,1020.0,6.561931034482758,1020.0,96.5588275862069,1020.0,7.9487862068965525,1020.0,32.41143448275862,1020.0,49.639620689655175,1020.0,2.283931034482759,1020.0,16.60059814586663,4.150149536466658,55.92202914651444,19.572710201280053,0.00394643332049652,0.00098660833012413,0.0,0.0,23.723846346076833,2024.0,1.0,0.0,0.0,1.0,11.482758620689655
2024-01-02,11632.0,25.673641379310343,234.6442896551724,3.2720344827586207,1020.0,23.993324137931037,1020.0,7.475744827586206,1020.0,97.60198620689656,1020.0,7.998427586206896,1020.0,30.698144827586205,1020.0,45.99691034482759,1020.0,4.214765517241379,1020.0,13.957845042074583,3.4894612605186457,29.295337224884197,10.253368028709469,0.0034119031084927334,0.0008529757771231834,0.0,0.0,13.743682265005237,2024.0,1.0,1.0,0.0,2.0,11.482758620689655
2024-01-03,11777.0,24.13216896551724,177.38144137931036,3.6146344827586203,1020.0,25.145613793103447,1020.0,7.6376620689655175,1020.0,101.29902068965518,1020.0,8.018110344827585,1020.0,30.603499999999997,1020.0,47.42,1020.0,5.783544827586207,1020.0,12.919738390613228,3.229934597653307,5.923360679284601,2.0731762377496104,0.0035661716197670306,0.0008915429049417576,0.0,0.0,5.3040023783078585,2024.0,1.0,2.0,0.0,3.0,11.482758620689655
2024-01-04,11922.0,24.767787110344834,207.1876827586207,3.976565517241379,1020.0,26.57796206896552,1020.0,7.07611724137931,1020.0,98.42888275862069,1020.0,8.002213793103447,1020.0,30.335375862068965,1020.0,45.226800000000004,1020.0,4.77471724137931,1020.0,13.826233630151913,3.4565584075379783,9.178432780879723,3.212451473307903,0.0032697022331622896,0.0008174255582905724,0.0,0.0,6.669827306404172,2024.0,1.0,3.0,0.0,4.0,11.482758620689655
2024-01-05,12067.0,22.585862068965515,190.90099183448277,3.447179310344828,1020.0,26.074610344827587,1020.0,7.112558620689654,1020.0,97.84473103448276,1020.0,8.122855172413793,1020.0,30.487810344827587,1020.0,43.16053103448276,1020.0,4.167958620689656,1020.0,8.562011688395721,2.1405029220989302,16.628681952637113,5.820038683422989,0.0030002179657976475,0.0007500544914494119,0.0,0.0,7.961291660013368,2024.0,1.0,4.0,0.0,5.0,11.482758620689655
2024-01-06,12212.0,19.089372413793104,176.2625724137931,4.358427586206896,1020.0,26.379462068965516,1020.0,7.348151724137931,1020.0,100.62411724137931,1020.0,8.163944827586207,1020.0,30.603499999999997,1020.0,44.138737931034484,1020.0,4.056255172413794,1020.0,6.723692200303586,1.6809230500758965,15.28388534276404,5.349359869967413,0.0031220131224430365,0.0007805032806107591,0.0,0.0,7.031063423323921,2024.0,1.0,5.0,1.0,6.0,11.482758620689655
2024-01-07,12357.0,20.537737931034485,186.0158,5.186344827586207,1020.0,25.800006896551725,1020.0,7.082827586206896,1020.0,98.74491724137931,1020.0,8.171586206896553,1020.0,30.603499999999997,1020.0,45.780206896551725,1020.0,3.896158620689655,1020.0,6.520628339139263,1.6301570847848157,16.706656100989616,5.847329635346365,0.003341189951846205,0.0008352974879615513,0.0,0.0,7.478322017619143,2024.0,1.0,6.0,1.0,7.0,11.482758620689655
2024-01-08,12502.0,20.88955172413793,196.64612413793103,6.193593103448276,1020.0,26.199420689655174,1020.0,6.947206896551724,1020.0,98.62311724137932,1020.0,8.029951724137932,1020.0,30.36353103448276,1020.0,44.822572413793104,1020.0,3.6653103448275863,1020.0,12.398704531655355,3.0996761329138387,21.593886666958603,7.557860333435512,0.0032047376402083716,0.0008011844100520929,0.0,0.0,10.658337650759403,2024.0,1.0,0.0,0.0,8.0,11.482758620689655
2024-01-09,12647.0,22.57931724137931,184.62315172413793,5.594910344827586,1020.0,26.18586551724138,1020.0,6.757165517241379,1020.0,99.81711724137931,1020.0,7.983848275862068,1020.0,30.95630344827586,1020.0,47.67555862068966,1020.0,3.4817793103448276,1020.0,14.56904232942393,3.6422605823559824,25.00059694982914,8.750208932440199,0.003610739791994813,0.0009026849479987033,0.0,0.0,12.39337219974418,2024.0,1.0,1.0,0.0,9.0,11.482758620689655
2024-01-10,12792.0,22.753710344827585,194.9791476413793,4.184206896551724,1020.0,26.213241379310347,1020.0,6.679206896551724,1020.0,99.26177931034483,1020.0,7.960406896551724,1020.0,31.13324137931034,1020.0,47.92860689655173,1020.0,3.5425724137931036,1020.0,15.836249871453122,3.9590624678632804,23.707035292628508,8.297462352419977,0.0036517133722002073,0.0009129283430500518,0.0,0.0,12.257437748626307,2024.0,1.0,2.0,0.0,10.0,11.482758620689655
